session_id,customer_id,item_list,_valid_from,_valid_to
SESSION-GROCERY-PRICE-AWARE-20251223,CUST-77321,"bananas, tomatoes, Roma tomatoes",2025-12-23,
SESSION-GROC-429,CUST-5010,"carrots, romaine lettuce, cheddar cheese, yogurt, ground turkey, quinoa, orange juice",2025-12-23,
SESSION-GROC-430,CUST-5011,"strawberries, bell peppers, milk, butter, chicken breasts, oatmeal, sparkling water",2025-12-23,
SESSION-GROC-431,CUST-5012,"broccoli, apples, Greek yogurt, butter, salmon, brown rice, apple juice",2025-12-23,
SESSION-GROC-432,CUST-5013,"spinach, mangoes, cheese, yogurt, salmon, quinoa, orange juice",2025-12-23,
SESSION-GROC-434,CUST-5012,"kale, oranges, milk, cottage cheese, chicken breast, pasta, green tea",2025-12-23,
SESSION-GROC-435,CUST-5012,"spinach, strawberries, cheddar cheese, soy milk, salmon fillet, oats, herbal tea",2025-12-24,
SESSION-GROC-436,CUST-5002,"carrots, green beans, milk, Greek yogurt, pork chops, quinoa, orange juice",2025-12-24,
SESSION-GROC-438,CUST-5002,"apples, broccoli, eggs, milk, tilapia, bread, green tea",2025-12-25,
SESSION-GROC-437,CUST-5003,"kale, oranges, cheese, yogurt, ground beef, pasta, juice",2025-12-25,
SESSION-GROCERY-BUDGET-QUANTITY-20251223,CUST-99102,"bananas, conventional bananas, 2, chicken, bone-in chicken thighs, 3, broccoli, broccoli crowns",2025-11-29,
SESSION-GROC-439,CUST-5002,"tomatoes, cucumbers, cheddar cheese, skim milk, milk, chicken breasts, spaghetti, orange juice",2025-12-26,
SESSION-GROC-440,CUST-5002,"spinach, carrots, yogurt, milk, ground turkey, quinoa, lemonade",2025-12-27,
SESSION-GROC-441,CUST-5002,"grapes, bell peppers, milk, butter, salmon, oats, iced tea",2025-12-28,
SESSION-GROC-442,CUST-5003,"apples, broccoli, eggs, cheddar cheese, pork chops, brown rice, orange juice",2025-12-29,
SESSION-GROC-443,CUST-5003,"strawberries, zucchini, milk, cottage cheese, ground turkey, pasta, sparkling water",2025-12-30,
SESSION-GROC-101,CUST-5001,"strawberries, spinach, cheese, eggs, salmon, tofu, quinoa, sparkling water",2025-11-15,
SESSION-GROC-102,CUST-5002,"bell peppers, zucchini, milk, Greek yogurt, chicken thighs, pasta, juice",,
SESSION-GROC-103,CUST-5025,"carrots, spinach, milk, cheddar cheese, ground beef, brown rice, orange juice",,
SESSION-GROC-216,CUST-5004,"avocados, strawberries, eggs, oat milk, salmon, quinoa, sparkling water",2025-12-23,
SESSION-GROC-317,CUST-5005,"carrots, cherry tomatoes, cheddar cheese, vanilla yogurt, ground turkey, whole wheat bread, orange juice",2025-12-23,
SESSION-GROC-428,CUST-5007,"spinach, red onions, milk, cottage cheese, salmon fillets, brown rice, green tea",2025-12-23,
