session_id,start_time,customer_id,customer_location,customer_loyalty_status,customer_device_os,_valid_from,_valid_to
SESSION-FOOD763,2025-09-18T19:02:01Z,CUST-55210,"San Jose, CA",Gold,Android,2025-09-18,
SESSION-SMOOTHIE702,2025-12-01T10:36:46Z,CUST-88123,"Miami, FL",Platinum,iOS,2025-12-01,
SESSION-CAKE9911,2025-12-15T15:22:46Z,CUST-99101,"Orlando, FL",Gold,iOS,2025-12-15,
SESSION-PIZZA889,2026-01-04T18:12:30Z,CUST-55443,"San Francisco, CA",Gold,Android,2026-01-04,
SESSION-SALAD521,2025-12-22T11:11:24Z,CUST-77219,"Chicago, IL",Platinum,iOS,2025-12-22,
SESSION-BURGER811,2025-12-22T14:33:52Z,CUST-99887,"New York, NY",Silver,iOS,2025-12-22,
SESSION-PIZZA776,2025-12-22T15:45:55Z,CUST-55443,"San Francisco, CA",Gold,Android,2025-12-22,2026-01-04
SESSION-SMOOTHIE161,2025-12-22T16:20:04Z,CUST-66778,"Chicago, IL",Platinum,iOS,2025-12-22,
SESSION-COFFEE361,2025-12-22T17:05:29Z,CUST-77889,"New York, NY",Gold,Android,2025-12-22,
SESSION-DESSERT336,2025-12-22T17:50:46Z,CUST-88990,"Boston, MA",Platinum,iOS,2025-12-22,
SESSION-MEATLOVER961,2025-12-22T18:21:49Z,CUST-99001,"Dallas, TX",Gold,Android,2025-12-22,
SESSION-SEAFOOD153,2025-12-22T19:10:06Z,CUST-11234,"Seattle, WA",Gold,iOS,2025-12-22,
SESSION-CHINESE524,2025-12-22T19:20:31Z,CUST-55667,"San Francisco, CA",Platinum,Android,2025-12-22,2025-12-29
SESSION-CHINESE561,2025-12-29T18:05:10Z,CUST-55667,"San Francisco, CA",Platinum,Android,2025-12-29,
SESSION-BREAKFAST860,2025-12-22T10:10:22Z,CUST-88991,"New York, NY",Gold,iOS,2025-12-22,
SESSION-HEALTHYBF901,2025-12-22T09:06:39Z,CUST-99002,"San Francisco, CA",Platinum,Android,2025-12-22,
SESSION-HEALTHYBF902,2025-12-22T10:45:36Z,CUST-99003,"Seattle, WA",Gold,iOS,2025-12-22,
SESSION-BRUNCH-20251222,2025-12-22T11:24:01Z,CUST-55021,"New York, NY",Gold,iOS,2025-12-22,
SESSION-SEAFOOD-20251222,2025-12-22T12:15:46Z,CUST-77145,"San Francisco, CA",Platinum,Android,2025-12-22,
SESSION-MEATLOVER-20251222,2025-12-22T12:31:05Z,CUST-88233,"Chicago, IL",Gold,iOS,2025-12-22,
SESSION-PIZZA-20251222,2025-12-22T18:39:36Z,CUST-99321,"New York, NY",Gold,iOS,2025-12-22,
SESSION-COFFEE901,2025-09-22T08:15:20Z,CUST-99102,"Seattle, WA",Platinum,iOS,2025-09-22,
SESSION-SUSHI313,2025-09-25T18:36:21Z,CUST-44019,"Los Angeles, CA",Standard,iOS,2025-09-25,
SESSION-TACO679,2025-09-27T12:41:22Z,CUST-66290,"Phoenix, AZ",Regular,Android,2025-09-27,
SESSION-ICECREAM124,2025-09-28T16:25:45Z,CUST-11890,"Boston, MA",Regular,iOS,2025-09-28,
SESSION-PIZZA314,2025-10-04T19:11:19Z,CUST-66512,"Dallas, TX",Silver,Windows,2025-10-04,
SESSION-COFFEE590,2025-10-02T08:36:27Z,CUST-77234,"San Diego, CA",Gold,Android,2025-10-02,
