customer_id,customer_location,session_id,start_time,issue,final_sentiment,duration_sec,talk_ratios_customer,detected_action
CUST-88922,"Chicago, IL",SESSION-EXP123456,2025-10-11T11:03:20Z,subscription_cancellation,positive,785,0.45,"account_lookup, manual_cancellation, issue_refund, send_confirmation_email"
CUST-11223,"Seattle, WA",SESSION-MEMCANCEL789,2025-10-14T16:45:00Z,membership_cancellation,neutral,480,0.35,"process_cancellation, inform_refund_policy"
CUST-55210,"Chicago, IL",SESSION-CANCEL1234,2025-10-14T21:30:45Z,membership_cancellation,positive,720,0.32,"verify_account, explain_cancellation_policy, offer_alternative_plan, confirm_plan_switch"
CUST-44556,"San Francisco, CA",SESSION-MEMUPG456,2025-10-14T14:20:30Z,membership_upgrade,positive,390,0.43,"inform_upgrade_benefits, process_membership_upgrade"
CUST-66778,"New York, NY",SESSION-MEMCAN789,2025-10-14T15:45:10Z,membership_cancellation,neutral,460,0.42,"inform_cancellation_effects, process_membership_cancellation"
CUST-99223,"Austin, TX",SESSION-MEMREN101,2025-10-14T16:30:45Z,membership_renewal_inquiry_and_auto_renewal_disable,positive,410,0.42,"inform_renewal_date, process_auto_renewal_disable"
CUST-88772,"Boston, MA",SESSION-MEMSTAT212,2025-10-14T17:15:22Z,membership_status_and_address_update,positive,445,0.4,"verify_identity, inform_membership_status, process_address_update"
CUST-99821,"Chicago, IL",SESSION-MEMBEN339,2025-10-14T18:05:10Z,benefit_eligibility_check,positive,395,0.44,"verify_purchase, confirm_promo_eligibility, inform_reward_details"
CUST-11730,"Seattle, WA",SESSION-MEMLOGIN415,2025-10-14T19:12:08Z,login_issue_password_reset,positive,510,0.43,"verify_identity, identify_login_error, initiate_password_reset"
CUST-77015,"San Francisco, CA",SESSION-PAYMENT8732,2025-10-14T19:45:05Z,payment_issue,positive,650,0.35,"verify_account, inform_payment_declined, update_payment_method, confirm_payment_success"
CUST-33017,"Boston, MA",SESSION-GROUPADD821,2025-10-14T21:04:23Z,group_membership_addition,positive,615,0.48,"verify_identity, check_plan_limits, collect_family_info, add_group_members"
CUST-66182,"Austin, TX",SESSION-MEM998877,2025-10-11T14:10:00Z,membership_upgrade,positive,524,0.44,"lookup_membership_status, confirm_upgrade_option, upgrade_membership, send_email_confirmation"
CUST-33490,"New York, NY",SESSION-UPGRADE5410,2025-10-14T20:05:12Z,membership_upgrade,positive,600,0.38,"verify_account, explain_benefits, provide_pricing, confirm_upgrade, complete_upgrade"
CUST-11245,"Atlanta, GA",SESSION-CANCEL1023,2025-10-14T21:15:30Z,membership_cancellation,positive,510,0.4,"verify_account, confirm_refund_eligibility, submit_refund_request, confirm_service_duration"
CUST-41288,"San Diego, CA",SESSION-UPGRADEINFO387,2025-10-14T23:22:46Z,membership_info_request,neutral,425,0.43,"verify_identity, explain_plan_features, address_upgrade_concern, send_followup_email"
CUST-67301,"Atlanta, GA",SESSION-REACT5673,2025-10-14T23:52:12Z,reactivation_request,positive,490,0.45,"verify_account, check_cancellation_history, present_reactivation_offer, switch_membership_plan, activate_account"
CUST-44819,"Providence, RI",SESSION-DEPADD9054,2025-10-14T23:58:11Z,dependent_addition_request,positive,410,0.44,"verify_account, confirm_plan_allowance, request_dependent_info, document_submission_instructions"
CUST-99821,"San Francisco, CA",SESSION-BILL8932,2025-10-14T22:45:08Z,billing_dispute,neutral,540,0.44,"verify_account, explain_charge, escalate_issue, provide_follow_up"
CUST-72619,"Phoenix, AZ",SESSION-MEM554433,2025-10-11T16:22:13Z,benefits_misunderstanding,positive,615,0.42,"verify_account, clarify_benefit_conditions, send_email"
CUST-45519,"Orlando, FL",SESSION-MEMCAN777,2025-10-11T17:45:42Z,membership_cancellation,neutral,587,0.47,"cancel_membership, send_confirmation_email"
CUST-22987,"Denver, CO",SESSION-MEMINFO333,2025-10-11T19:18:25Z,membership_info_request,positive,470,0.48,"list_benefits, inform_billing_cycle, explain_auto_renewal_policy"
CUST-55623,"San Francisco, CA",SESSION-MEMUPG325,2025-10-12T14:33:10Z,membership_upgrade,positive,510,0.42,"upgrade_membership, send_confirmation_email"
CUST-88102,"New York, NY",SESSION-MEMCXL789,2025-10-13T16:45:00Z,membership_cancellation,neutral,480,0.45,"process_cancellation, send_cancellation_email, offer_retention_discount"
CUST-33477,"Chicago, IL",SESSION-MEMINFO123,2025-10-14T11:15:25Z,membership_information_request,positive,420,0.45,"provide_membership_benefits, provide_renewal_date, inform_billing_policy"
CUST-77654,"San Francisco, CA",SESSION-MEMUPG365,2025-10-14T14:20:10Z,membership_upgrade,positive,390,0.4,"process_upgrade, confirm_new_pricing"
