customer_id,customer_location,customer_loyalty_status,session_id,start_time,_valid_from,_valid_to
CUST-77321,"Seattle, WA",Standard,SESSION-GROCERY-PRICE-AWARE-20251223,2025-12-23T16:21:19Z,2025-12-23,
CUST-5010,"Boston, MA",,SESSION-GROC-429,2025-12-23T10:36:02Z,2025-12-23,
CUST-5011,"Austin, TX",,SESSION-GROC-430,2025-12-23T11:54:29Z,2025-12-23,
CUST-5012,"Seattle, WA",Gold,SESSION-GROC-431,2025-12-23T12:11:04Z,2025-12-23,2025-12-23
CUST-5013,"Miami, FL",,SESSION-GROC-432,2025-12-23T13:02:05Z,2025-12-23,
CUST-5012,"Seattle, WA",Gold,SESSION-GROC-434,2025-12-23T15:19:25Z,2025-12-23,2025-12-24
CUST-5012,"Seattle, WA",Gold,SESSION-GROC-435,2025-12-24T10:13:40Z,2025-12-24,
CUST-5002,"Chicago, IL",Gold,SESSION-GROC-436,2025-12-24T18:36:50Z,2025-12-24,2025-12-25
CUST-5002,"Chicago, IL",Gold,SESSION-GROC-438,2025-12-25T14:59:21Z,2025-12-25,2025-12-26
CUST-5003,"Chicago, IL",Gold,SESSION-GROC-437,2025-12-25T09:25:12Z,2025-12-25,2025-12-29
CUST-99102,"Denver, CO",Standard,SESSION-GROCERY-BUDGET-QUANTITY-20251223,2025-11-29T12:36:02Z,2025-11-29,
CUST-5002,"Chicago, IL",Gold,SESSION-GROC-439,2025-12-26T10:31:05Z,2025-12-26,2025-12-27
CUST-5002,"Chicago, IL",Gold,SESSION-GROC-440,2025-12-27T09:10:50Z,2025-12-27,2025-12-28
CUST-5002,"Chicago, IL",Gold,SESSION-GROC-441,2025-12-28T11:29:33Z,2025-12-28,
CUST-5003,"Chicago, IL",Gold,SESSION-GROC-442,2025-12-29T10:25:25Z,2025-12-29,2025-12-30
CUST-5003,"Chicago, IL",Gold,SESSION-GROC-443,2025-12-30T12:42:10Z,2025-12-30,
CUST-20345,"San Francisco, CA",Silver,SESSION-GROC-330,2025-12-24T10:02:27Z,2025-12-24,
CUST-5025,"Los Angeles, CA",Silver,SESSION-GROC-324,2025-12-23T15:41:04Z,2025-12-23,
CUST-20345,"San Francisco, CA",Silver,SESSION-GROC-326,2025-12-23T12:19:36Z,2025-12-23,2025-12-23
CUST-20345,"San Francisco, CA",Silver,SESSION-GROC-327,2025-12-23T14:52:45Z,2025-12-23,2025-12-24
CUST-5001,"San Francisco, CA",Silver,SESSION-GROC-101,2025-11-15T11:10:04Z,2025-11-15,
CUST-5002,"New York, NY",Gold,SESSION-GROC-102,2025-12-21T8:27:29Z,,2025-12-24
CUST-5025,"Los Angeles, CA",Silver,SESSION-GROC-103,2025-12-20T9:46:39Z,,2025-12-23
CUST-5004,"San Francisco, CA",Gold,SESSION-GROC-216,2025-12-23T10:13:03Z,2025-12-23,
CUST-5005,"Austin, TX",Silver,SESSION-GROC-317,2025-12-23T14:36:13Z,2025-12-23,
CUST-5007,"Seattle, WA",Gold,SESSION-GROC-428,2025-12-23T16:54:50Z,2025-12-23,
