session_id,conversation_content,speaker,intent,start_sec,end_sec,emotion,conversation_turn,v_as_of_date
SESSION-BREAKFAST860,"Hi, I want to order breakfast.",customer,order_intent,0.5,2.5,neutral,1,2025-12-22
SESSION-BREAKFAST860,"Sure! Would you like eggs, pancakes, waffles, or a combo plate?",agent,meal_type_inquiry,3.0,7.5,friendly,2,2025-12-22
SESSION-BREAKFAST860,I’ll go with eggs and toast.,customer,select_meal_type,8.0,9.5,positive,3,2025-12-22
SESSION-BREAKFAST860,"How would you like your eggs? Scrambled, fried, poached, or omelette?",agent,egg_style_inquiry,10.0,14.0,informative,4,2025-12-22
SESSION-BREAKFAST860,"Scrambled, please.",customer,select_egg_style,14.5,16.0,neutral,5,2025-12-22
SESSION-BREAKFAST860,"Which bread for your toast? White, whole wheat, sourdough, or rye?",agent,toast_selection_inquiry,16.5,20.5,informative,6,2025-12-22
SESSION-BREAKFAST860,"Sourdough, please.",customer,select_toast_type,21.0,22.5,positive,7,2025-12-22
SESSION-BREAKFAST860,"Would you like any sides like bacon, sausage, or hash browns?",agent,side_inquiry,23.0,27.0,informative,8,2025-12-22
SESSION-BREAKFAST860,"Bacon and hash browns, please.",customer,select_sides,27.5,29.5,positive,9,2025-12-22
SESSION-BREAKFAST860,"Do you want a drink? Coffee, tea, orange juice, or milk?",agent,drink_inquiry,30.0,34.0,informative,10,2025-12-22
SESSION-BREAKFAST860,"Coffee, black, please.",customer,select_drink,34.5,36.0,positive,11,2025-12-22
SESSION-BREAKFAST860,Do you have any dietary restrictions or allergies?,agent,dietary_inquiry,36.5,40.5,informative,12,2025-12-22
SESSION-BREAKFAST860,No allergies.,customer,decline_dietary_option,41.0,42.0,neutral,13,2025-12-22
SESSION-BREAKFAST860,"Your breakfast with scrambled eggs, sourdough toast, bacon, hash browns, and black coffee is confirmed. Pickup in 15 minutes.",agent,confirm_order,42.5,50.5,positive,14,2025-12-22
SESSION-BREAKFAST860,Thanks! That’s perfect.,customer,express_gratitude,51.0,52.5,happy,15,2025-12-22
SESSION-BRUNCH-20251222,"Hi, I’d like to order brunch today.",customer,order_intent,0.5,2.5,neutral,1,2025-12-22
SESSION-BRUNCH-20251222,"Sure! We have eggs benedict, avocado toast, pancakes, or smoothie bowls. Which one would you like?",agent,meal_type_inquiry,3.0,7.5,friendly,2,2025-12-22
SESSION-BRUNCH-20251222,"I’ll have the eggs benedict, please.",customer,select_meal_type,8.0,10.0,positive,3,2025-12-22
SESSION-BRUNCH-20251222,"Would you like it with ham, smoked salmon, or spinach?",agent,eggs_benedict_variant_inquiry,10.5,14.0,informative,4,2025-12-22
SESSION-BRUNCH-20251222,"Smoked salmon, please.",customer,select_variant,14.5,16.0,positive,5,2025-12-22
SESSION-BRUNCH-20251222,"Would you like a side? Hash browns, roasted vegetables, or fruit salad?",agent,side_inquiry,16.5,21.0,informative,6,2025-12-22
SESSION-BRUNCH-20251222,"Fruit salad, please.",customer,select_side,21.5,23.0,positive,7,2025-12-22
SESSION-BRUNCH-20251222,"Would you like a drink? Coffee, latte, tea, or fresh juice?",agent,drink_inquiry,23.5,27.5,informative,8,2025-12-22
SESSION-BRUNCH-20251222,"A latte, please.",customer,select_drink,28.0,29.5,neutral,9,2025-12-22
SESSION-BRUNCH-20251222,"Would you like any extras? Avocado slices, smoked bacon, or extra hollandaise sauce?",agent,extras_inquiry,30.0,34.0,informative,10,2025-12-22
SESSION-BRUNCH-20251222,"Extra hollandaise sauce, please.",customer,select_extra,34.5,36.0,positive,11,2025-12-22
SESSION-BRUNCH-20251222,"Would you like any toast or bread on the side? Sourdough, whole wheat, or rye?",agent,toast_inquiry,36.5,41.0,informative,12,2025-12-22
SESSION-BRUNCH-20251222,"Whole wheat toast, please.",customer,select_toast,41.5,43.0,positive,13,2025-12-22
SESSION-BRUNCH-20251222,"Any seasoning preferences? Salt, pepper, paprika, or everything mix?",agent,seasoning_inquiry,43.5,48.0,informative,14,2025-12-22
SESSION-BRUNCH-20251222,"Just salt and pepper, please.",customer,select_seasoning,48.5,50.0,neutral,15,2025-12-22
SESSION-BRUNCH-20251222,Do you want a dessert option like mini pancakes or a muffin?,agent,dessert_inquiry,50.5,55.0,informative,16,2025-12-22
SESSION-BRUNCH-20251222,"No, thank you.",customer,decline_dessert,55.5,57.0,neutral,17,2025-12-22
SESSION-BRUNCH-20251222,"Perfect. So eggs benedict with smoked salmon, extra hollandaise, fruit salad, whole wheat toast, latte, salt & pepper, confirmed. Pickup in 20 minutes.",agent,confirm_order,57.5,63.0,positive,18,2025-12-22
SESSION-BRUNCH-20251222,Thank you! Can’t wait.,customer,express_gratitude,63.5,65.0,happy,19,2025-12-22
SESSION-BRUNCH-20251222,You’re welcome! Enjoy your brunch.,agent,farewell,65.5,68.0,friendly,20,2025-12-22
SESSION-BURGER811,"Hi, I want to place a burger order.",customer,order_intent,0.5,2.8,neutral,1,2025-12-22
SESSION-BURGER811,"Sure! Would you like a beef, chicken, or veggie burger?",agent,burger_type_inquiry,3.2,7.0,friendly,2,2025-12-22
SESSION-BURGER811,Beef burger.,customer,select_burger_type,7.5,9.5,neutral,3,2025-12-22
SESSION-BURGER811,"Which toppings would you like? Lettuce, tomato, onion, pickles, cheese, bacon?",agent,toppings_inquiry,10.0,14.5,informative,4,2025-12-22
SESSION-BURGER811,"Lettuce, tomato, cheese, and bacon.",customer,select_toppings,15.0,18.0,positive,5,2025-12-22
SESSION-BURGER811,Would you like to make it a combo with fries and a drink?,agent,combo_offer,18.4,22.0,friendly,6,2025-12-22
SESSION-BURGER811,"Yes, combo please.",customer,accept_combo,22.5,25.0,positive,7,2025-12-22
SESSION-BURGER811,"Which drink would you like? Coke, Diet Coke, or iced tea?",agent,drink_selection_inquiry,25.4,29.5,informative,8,2025-12-22
SESSION-BURGER811,Coke.,customer,select_drink,29.9,32.0,positive,9,2025-12-22
SESSION-BURGER811,"Would you like any extra sauces or sides, like ketchup, mayo, or onion rings?",agent,extra_sides_inquiry,32.4,36.5,informative,10,2025-12-22
SESSION-BURGER811,"Extra ketchup, please.",customer,add_extra_sides,36.9,39.0,positive,11,2025-12-22
SESSION-BURGER811,Do you have any dietary preferences or allergies?,agent,dietary_inquiry,39.5,43.0,informative,12,2025-12-22
SESSION-BURGER811,No allergies.,customer,decline_dietary_option,43.5,45.5,neutral,13,2025-12-22
SESSION-BURGER811,Your total is $11.75. Would you like to confirm your order?,agent,present_total_and_confirm,46.0,50.5,neutral,14,2025-12-22
SESSION-BURGER811,"Yes, confirm it.",customer,confirm_action,50.9,53.0,positive,15,2025-12-22
SESSION-BURGER811,"Your beef burger combo with lettuce, tomato, cheese, bacon, Coke, and extra ketchup is confirmed. It will be ready for pickup in 20 minutes.",agent,confirm_order,53.5,59.0,positive,16,2025-12-22
SESSION-CAKE9911,"Hi, I want to order a cake.",customer,order_intent,0.4,2.8,neutral,1,2025-12-15
SESSION-CAKE9911,"Sure! What type of cake would you like? Round, sheet, or cupcake set?",agent,cake_type_inquiry,3.2,7.1,friendly,2,2025-12-15
SESSION-CAKE9911,"Round cake, please.",customer,select_cake_type,7.5,10.0,neutral,3,2025-12-15
SESSION-CAKE9911,"What size would you like? 6-inch, 8-inch, or 10-inch?",agent,cake_size_inquiry,10.4,14.8,neutral,4,2025-12-15
SESSION-CAKE9911,8-inch.,customer,select_size,15.2,17.1,neutral,5,2025-12-15
SESSION-CAKE9911,"Which flavor would you like? Chocolate, vanilla, red velvet, or lemon?",agent,flavor_inquiry,17.5,22.0,friendly,6,2025-12-15
SESSION-CAKE9911,Chocolate.,customer,select_flavor,22.5,25.1,positive,7,2025-12-15
SESSION-CAKE9911,"What type of frosting do you prefer? Buttercream, whipped cream, or ganache?",agent,frosting_inquiry,25.5,30.0,friendly,8,2025-12-15
SESSION-CAKE9911,"Ganache, please.",customer,select_frosting,30.4,33.0,positive,9,2025-12-15
SESSION-CAKE9911,"Would you like to add toppings or decorations? Sprinkles, fruit, or chocolate chips?",agent,toppings_inquiry,33.4,38.0,friendly,10,2025-12-15
SESSION-CAKE9911,Add strawberries on top.,customer,add_toppings,38.4,41.1,positive,11,2025-12-15
SESSION-CAKE9911,Do you have any dietary preferences? Gluten-free or vegan options?,agent,dietary_preference_inquiry,41.5,46.2,informative,12,2025-12-15
SESSION-CAKE9911,No dietary restrictions.,customer,decline_dietary_option,46.6,48.8,neutral,13,2025-12-15
SESSION-CAKE9911,Your total is $28.50. Would you like to confirm your order?,agent,present_total_and_confirm,49.2,54.0,neutral,14,2025-12-15
SESSION-CAKE9911,"Yes, please confirm.",customer,confirm_action,54.4,56.5,positive,15,2025-12-15
SESSION-CAKE9911,Your chocolate ganache cake with strawberries is confirmed and will be ready for pickup in 1 hour.,agent,confirm_order,56.9,62.2,positive,16,2025-12-15
SESSION-CHINESE524,"Hi, I want to order some Chinese food.",customer,order_intent,0.5,2.5,neutral,1,2025-12-22
SESSION-CHINESE524,"Great! Would you like rice, noodles, or a combination platter?",agent,main_type_inquiry,3.0,7.5,friendly,2,2025-12-22
SESSION-CHINESE524,I’ll go with the combination platter.,customer,select_main_type,8.0,10.0,positive,3,2025-12-22
SESSION-CHINESE524,"Which dishes would you like in your platter? Kung Pao Chicken, Sweet and Sour Pork, or Mapo Tofu?",agent,dish_selection_inquiry,10.5,14.5,informative,4,2025-12-22
SESSION-CHINESE524,"Kung Pao Chicken and Mapo Tofu, please.",customer,select_dishes,15.0,17.0,positive,5,2025-12-22
SESSION-CHINESE524,"What spice level would you like? Mild, Medium, or Spicy?",agent,spice_level_inquiry,17.5,21.5,informative,6,2025-12-22
SESSION-CHINESE524,Medium spice is good.,customer,select_spice_level,22.0,24.0,neutral,7,2025-12-22
SESSION-CHINESE524,Would you like any add-ons like dumplings or spring rolls?,agent,addons_inquiry,24.5,28.5,informative,8,2025-12-22
SESSION-CHINESE524,"Add dumplings, please.",customer,select_addons,29.0,31.0,positive,9,2025-12-22
SESSION-CHINESE524,"Would you like a drink? Green tea, soda, or juice?",agent,drink_inquiry,31.5,35.5,informative,10,2025-12-22
SESSION-CHINESE524,"Green tea, please.",customer,select_drink,36.0,37.5,positive,11,2025-12-22
SESSION-CHINESE524,Do you have any dietary restrictions or allergies?,agent,dietary_inquiry,38.0,42.0,informative,12,2025-12-22
SESSION-CHINESE524,No allergies.,customer,decline_dietary_option,42.5,44.0,neutral,13,2025-12-22
SESSION-CHINESE524,"Your combination platter with Kung Pao Chicken, Mapo Tofu, dumplings, medium spice, and green tea is confirmed. Ready for pickup in 25 minutes.",agent,confirm_order,44.5,51.5,positive,14,2025-12-22
SESSION-CHINESE524,"Thank you, sounds perfect!",customer,express_gratitude,52.0,53.5,happy,15,2025-12-22
SESSION-CHINESE561,"Hi, I'd like to order dinner.",customer,order_intent,0.4,2.6,neutral,1,2025-12-29
SESSION-CHINESE561,"Welcome back! Would you like rice, noodles, or a chef’s special?",agent,main_type_inquiry,3.0,7.2,friendly,2,2025-12-29
SESSION-CHINESE561,I’ll have noodles.,customer,select_main_type,7.8,10.2,positive,3,2025-12-29
SESSION-CHINESE561,"Which noodle dish would you like? Chow Mein, Dan Dan Noodles, or Beef Lo Mein?",agent,dish_selection_inquiry,10.6,14.8,informative,4,2025-12-29
SESSION-CHINESE561,Beef Lo Mein and Orange Chicken.,customer,select_dishes,15.3,18.2,positive,5,2025-12-29
SESSION-CHINESE561,What spice level would you like?,agent,spice_level_inquiry,18.7,22.8,informative,6,2025-12-29
SESSION-CHINESE561,"Mild, please.",customer,select_spice_level,23.3,25.1,neutral,7,2025-12-29
SESSION-CHINESE561,Would you like any sides like egg rolls or wonton soup?,agent,addons_inquiry,25.6,29.8,informative,8,2025-12-29
SESSION-CHINESE561,"Egg rolls, please.",customer,select_addons,30.2,32.8,positive,9,2025-12-29
SESSION-CHINESE561,Would you like a drink with your order?,agent,drink_inquiry,33.3,37.5,informative,10,2025-12-29
SESSION-CHINESE561,No drink today.,customer,decline_drink,38.0,40.2,neutral,11,2025-12-29
SESSION-CHINESE561,"Your Beef Lo Mein with Orange Chicken, mild spice, and egg rolls is confirmed. Ready for pickup in 20 minutes.",agent,confirm_order,40.8,47.5,positive,12,2025-12-29
SESSION-COFFEE361,"Hi, I’d like to order a coffee.",customer,order_intent,0.5,2.5,neutral,1,2025-12-22
SESSION-COFFEE361,"Great! Would you like a Latte, Cappuccino, Americano, or Espresso?",agent,coffee_type_inquiry,3.0,7.0,friendly,2,2025-12-22
SESSION-COFFEE361,I’ll have a Latte.,customer,select_coffee_type,7.5,9.5,positive,3,2025-12-22
SESSION-COFFEE361,"What size would you like? Small, Medium, or Large?",agent,coffee_size_inquiry,10.0,13.5,informative,4,2025-12-22
SESSION-COFFEE361,"Medium, please.",customer,select_coffee_size,14.0,16.0,neutral,5,2025-12-22
SESSION-COFFEE361,"Which milk would you like? Whole, skim, almond, oat, or soy?",agent,milk_option_inquiry,16.5,20.5,informative,6,2025-12-22
SESSION-COFFEE361,"Oat milk, please.",customer,select_milk_option,21.0,23.0,positive,7,2025-12-22
SESSION-COFFEE361,"Would you like any flavors like vanilla, caramel, or hazelnut?",agent,flavor_inquiry,23.5,27.5,informative,8,2025-12-22
SESSION-COFFEE361,"Caramel, please.",customer,select_flavor,28.0,30.0,positive,9,2025-12-22
SESSION-COFFEE361,Would you like a pastry or snack with your coffee?,agent,side_inquiry,30.5,34.0,informative,10,2025-12-22
SESSION-COFFEE361,"Yes, a chocolate croissant.",customer,add_side,34.5,36.5,positive,11,2025-12-22
SESSION-COFFEE361,Do you have any allergies or dietary restrictions?,agent,dietary_inquiry,37.0,41.0,informative,12,2025-12-22
SESSION-COFFEE361,No allergies.,customer,decline_dietary_option,41.5,42.5,neutral,13,2025-12-22
SESSION-COFFEE361,Your Medium Caramel Latte with oat milk and a chocolate croissant is confirmed. It will be ready for pickup in 12 minutes.,agent,confirm_order,43.0,49.0,positive,14,2025-12-22
SESSION-COFFEE361,Thanks a lot!,customer,express_gratitude,49.5,51.0,happy,15,2025-12-22
SESSION-COFFEE590,"Hi, I want to order a coffee.",customer,order_intent,0.6,3.1,neutral,1,2025-10-02
SESSION-COFFEE590,"Sure! What type of coffee would you like? Latte, cappuccino, or drip coffee?",agent,drink_type_inquiry,3.5,6.9,friendly,2,2025-10-02
SESSION-COFFEE590,I’ll have a latte.,customer,select_drink,7.2,9.8,neutral,3,2025-10-02
SESSION-COFFEE590,"What size would you like? Small, medium, or large?",agent,size_inquiry,10.2,13.8,neutral,4,2025-10-02
SESSION-COFFEE590,Medium.,customer,select_size,14.2,16.5,neutral,5,2025-10-02
