session_id,conversation_content,speaker,intent,conversation_turn,v_as_of_date
SESSION-GROC-101,"Hi, I want to order groceries, budget $50.",customer,start_grocery_order,1,2025-11-15
SESSION-GROC-101,"Got it! Start with produce, dairy, pantry, or beverages?",agent,category_inquiry,2,2025-11-15
SESSION-GROC-101,Produce: I need strawberries and spinach.,customer,request_items,3,2025-11-15
SESSION-GROC-101,"Strawberries: $3.99 per pound, organic $5.99 per pound. Spinach: $2.49 per pound, organic $4.49 per pound. Organic is fresher. Which do you want?",agent,offer_comparison_with_benefits,4,2025-11-15
SESSION-GROC-101,"Organic strawberries, regular spinach.",customer,select_items,5,2025-11-15
SESSION-GROC-101,"Added: 1 lb organic strawberries $5.99, 1 lb spinach $2.49. Remaining budget: $41.52. Dairy next?",agent,confirm_items_and_budget,6,2025-11-15
SESSION-GROC-101,"Yes, cheese and eggs.",customer,request_items,7,2025-11-15
SESSION-GROC-101,"Cheddar $4.99, organic $6.99. Eggs: large $3.49, organic $5.99. Organic is hormone-free. Choices?",agent,offer_comparison_with_benefits,8,2025-11-15
SESSION-GROC-101,Cheddar $4.99 and large eggs.,customer,select_items,9,2025-11-15
SESSION-GROC-101,Added $4.99 cheese and $3.49 eggs. Budget left: $33.04. Protein next?,agent,confirm_items_and_budget,10,2025-11-15
SESSION-GROC-101,"Salmon and tofu, 1 lb each.",customer,request_items_with_quantity,11,2025-11-15
SESSION-GROC-101,"Salmon: farmed $9.99/lb, wild $14.99/lb. Tofu: regular $2.49/lb, organic $3.49/lb. Wild salmon is higher in omega-3. Choices?",agent,offer_comparison_with_benefits,12,2025-11-15
SESSION-GROC-101,Wild salmon and regular tofu.,customer,select_items,13,2025-11-15
SESSION-GROC-101,Added salmon $14.99 and tofu $2.49. Budget left: $15.56. Pantry or beverages next?,agent,confirm_items_and_budget,14,2025-11-15
SESSION-GROC-101,Quinoa 1 lb and sparkling water 2 bottles.,customer,request_items_with_quantity,15,2025-11-15
SESSION-GROC-101,"Quinoa $5.99, sparkling water $1.99 each. Budget left: $0.60. Delivery or pickup?",agent,final_budget_and_fulfillment,16,2025-11-15
SESSION-GROC-101,"Delivery, please.",customer,select_fulfillment,17,2025-11-15
SESSION-GROC-101,Perfect! Your groceries will arrive today. Thanks for shopping!,agent,confirm_order,18,2025-11-15
SESSION-GROC-102,"Hello, want groceries, budget $35.",customer,start_grocery_order,1,
SESSION-GROC-102,"Got it! Start with produce, dairy, or pantry?",agent,category_inquiry,2,
SESSION-GROC-102,Produce: bell peppers and zucchini.,customer,request_items,3,
SESSION-GROC-102,"Bell peppers $2.49/lb, organic $3.99. Zucchini $1.99/lb, organic $2.99. Organic is fresher and tastier. Choices?",agent,offer_comparison_with_benefits,4,
SESSION-GROC-102,"Regular bell peppers, organic zucchini.",customer,select_items,5,
SESSION-GROC-102,"Added $4.98 peppers, $2.99 zucchini. Budget left: $27.03. Dairy next?",agent,confirm_items_and_budget,6,
SESSION-GROC-102,Milk and Greek yogurt.,customer,request_items,7,
SESSION-GROC-102,"Milk: regular $3.19, organic $5.49. Greek yogurt: $5.49, organic $6.99. Organic is hormone-free. Choices?",agent,offer_comparison_with_benefits,8,
SESSION-GROC-102,"Regular milk, Greek yogurt.",customer,select_items,9,
SESSION-GROC-102,Added $3.19 milk and $5.49 yogurt. Budget left: $18.35. Protein next?,agent,confirm_items_and_budget,10,
SESSION-GROC-102,"Chicken thighs, 2 lbs.",customer,request_items_with_quantity,11,
SESSION-GROC-102,"Bone-in $1.99/lb, boneless $3.99/lb. Boneless is antibiotic-free. Choices?",agent,offer_comparison_with_benefits,12,
SESSION-GROC-102,Boneless.,customer,select_items,13,
SESSION-GROC-102,Added $7.98 boneless chicken. Budget left: $10.37. Pantry or beverages?,agent,confirm_items_and_budget,14,
SESSION-GROC-102,Pasta 2 lbs and juice 1 bottle.,customer,request_items_with_quantity,15,
SESSION-GROC-102,"Pasta $2.49/lb, juice $2.99. Budget left: $2.40. Pickup or delivery?",agent,final_budget_and_fulfillment,16,
SESSION-GROC-102,"Pickup, thanks.",customer,select_fulfillment,17,
SESSION-GROC-102,Pickup confirmed. Thanks for shopping!,agent,confirm_order,18,
SESSION-GROC-103,"Hi, I need groceries today, budget $40.",customer,start_grocery_order,1,
SESSION-GROC-103,"Hello! Should we start with produce, dairy, or pantry items?",agent,category_inquiry,2,
SESSION-GROC-103,Produce: carrots and spinach.,customer,request_items,3,
SESSION-GROC-103,"Carrots $1.29/lb, organic $2.49. Spinach $2.99/bag, organic $4.49. Organic is fresher and pesticide-free. Choices?",agent,offer_comparison_with_benefits,4,
SESSION-GROC-103,"Regular carrots, organic spinach.",customer,select_items,5,
SESSION-GROC-103,"Added $1.29 carrots, $4.49 spinach. Budget left: $34.22. Dairy next?",agent,confirm_items_and_budget,6,
SESSION-GROC-103,"Milk and cheddar cheese, please.",customer,request_items,7,
SESSION-GROC-103,"Milk: regular $3.49, organic $5.79. Cheddar: $4.99, aged $6.99. Organic milk is hormone-free; aged cheddar has richer flavor. Choices?",agent,offer_comparison_with_benefits,8,
SESSION-GROC-103,"Regular milk, aged cheddar.",customer,select_items,9,
SESSION-GROC-103,"Added $3.49 milk, $6.99 cheese. Budget left: $23.74. Protein or pantry next?",agent,confirm_items_and_budget,10,
SESSION-GROC-103,"Ground beef, 1.5 lbs.",customer,request_items_with_quantity,11,
SESSION-GROC-103,"Regular $4.49/lb, lean $5.99/lb. Lean is lower fat. Choices?",agent,offer_comparison_with_benefits,12,
SESSION-GROC-103,Regular.,customer,select_items,13,
