customer_id,session_id,start_time,customer_location,customer_loyalty_status,intent_type,_valid_from,_valid_to
CUST-14567,SESSION-BEDROOM-112,2025-05-05T09:39:40Z,"Chicago, IL",Silver,bedroom_furnishing,2025-05-05,
CUST-19876,SESSION-BEDROOM-305,2025-06-10T10:46:13Z,"Denver, CO",Platinum,bedroom_furnishing,2025-06-10,
CUST-84562,SESSION-BEDROOM-499,2025-12-31T18:46:39Z,"Denver, CO",Gold,recommendation,2025-12-31,
CUST-77421,SESSION-BEDROOM-512,2025-12-31T14:30:04Z,"San Diego, CA",Gold,recommendation,2025-12-31,
CUST-91234,SESSION-ENTERTAINMENT-317,2025-12-31T20:16:25Z,"Chicago, IL",Platinum,recommendation,2025-12-31,
CUST-20345,SESSION-FURN-REC-201,2025-12-24T16:25:21Z,"San Francisco, CA",Silver,recommendation,2025-12-24,2025-12-24
CUST-20345,SESSION-FURN-REC-202,2025-12-24T18:06:16Z,"San Francisco, CA",Silver,recommendation,2025-12-24,2025-12-25
CUST-20345,SESSION-FURN-REC-203,2025-12-25T11:13:36Z,"San Francisco, CA",Silver,recommendation,2025-12-25,2025-12-26
CUST-20345,SESSION-FURN-REC-205,2025-12-26T11:29:31Z,"San Francisco, CA",Silver,recommendation,2025-12-26,2025-12-27
CUST-20345,SESSION-FURN-REC-206,2025-12-27T16:36:21Z,"San Francisco, CA",Silver,recommendation,2025-12-27,2025-12-29
CUST-20345,SESSION-FURN-REC-207,2025-12-29T10:42:03Z,"San Francisco, CA",Silver,recommendation,2025-12-29,2025-12-30
CUST-20345,SESSION-FURN-REC-208,2025-12-30T14:46:19Z,"San Francisco, CA",Silver,recommendation,2025-12-30,
CUST-30892,SESSION-FURN-REC-309,2025-12-24T16:10:54Z,"Austin, TX",Gold,recommendation,2025-12-24,
CUST-41234,SESSION-FURN-REC-410,2025-12-24T18:02:36Z,"Seattle, WA",Platinum,recommendation,2025-12-24,2025-12-27
CUST-41234,SESSION-FURN-REC-411,2025-12-27T15:39:45Z,"Seattle, WA",Platinum,recommendation,2025-12-27,
CUST-51287,SESSION-FURN-REC-512,2025-12-28T14:23:54Z,"Denver, CO",Gold,recommendation,2025-12-28,
CUST-62088,SESSION-FURN-REC-620,2025-12-31T10:16:29Z,"Austin, TX",Platinum,recommendation,2025-12-31,
CUST-90234,SESSION-GAMING-774,2025-12-31T14:04:21Z,"Los Angeles, CA",Gold,recommendation,2025-12-31,
CUST-73109,SESSION-HOME-OFF-925,2025-12-31T11:21:30Z,"Seattle, WA",Gold,recommendation,2025-12-31,
CUST-12934,SESSION-HOME-OFFICE-204,2025-04-12T11:35:24Z,"Seattle, WA",Gold,home_office_furnishing,2025-04-12,
CUST-73821,SESSION-HOME-OFFICE-921,2025-12-31T15:31:46Z,"Seattle, WA",Platinum,recommendation,2025-12-31,
CUST-84521,SESSION-KITCHEN-882,2025-12-31T12:33:29Z,"Chicago, IL",Platinum,recommendation,2025-12-31,
CUST-99312,SESSION-OFFICE-883,2025-12-31T16:02:55Z,"Chicago, IL",Platinum,recommendation,2025-12-31,2026-01-05
CUST-99312,SESSION-OFFICE-883-FOLLOWUP,2026-01-05T11:13:29Z,"Chicago, IL",Platinum,followup_recommendation,2026-01-05,
CUST-11247,SESSION-OFFICE-912,2026-02-10T09:36:46Z,"San Francisco, CA",Gold,office_furnishing,2026-02-10,
CUST-11822,SESSION-OFFICE-945,2025-03-15T10:20:31Z,"New York, NY",Platinum,office_furnishing,2025-03-15,
CUST-10047,SESSION-OFFICE-961,2025-12-31T14:36:40Z,"New York, NY",Gold,recommendation,2025-12-31,
