customer_id,start_time,session_id,saved_items,_valid_from,_valid_to
CUST-14567,2025-05-05T09:39:40Z,SESSION-BEDROOM-112,"LinenSoft Upholstered Bed, White Modern Nightstand, White Minimalist Dresser",2025-05-05,
CUST-19876,2025-06-10T10:46:13Z,SESSION-BEDROOM-305,"CozyUpholstered Bed, White Modern Nightstand, White Minimalist Dresser, Plush Grey Area Rug, Modern White Table Lamp",2025-06-10,
CUST-84562,2025-12-31T18:46:39Z,SESSION-BEDROOM-499,"CloudComfort Queen Bed, MapleTwo Drawer, Oak 6-Drawer Dresser, ArcModern LED Lamp",2025-12-31,
CUST-77421,2025-12-31T14:30:04Z,SESSION-BEDROOM-512,"Luna King Platform Bed, Onyx Modern Nightstands, Rustic Oak Dresser, ModernShag 9x12, Luna Arc Lamp",2025-12-31,
CUST-91234,2025-12-31T20:16:25Z,SESSION-ENTERTAINMENT-317,"CineMax 70"" QLED, TitanPro Ergonomic, SonicBoom 5.1, OakMedia 70"", Lumina Wi-Fi LED Strip",2025-12-31,
CUST-20345,2025-12-24T16:25:21Z,SESSION-FURN-REC-201,Urban Fabric Sofa,2025-12-24,
CUST-20345,2025-12-24T18:06:16Z,SESSION-FURN-REC-202,SteelFrame Pro Desk,2025-12-24,
CUST-20345,2025-12-25T11:13:36Z,SESSION-FURN-REC-203,SilentSupport Platform Bed,2025-12-25,
CUST-20345,2025-12-26T11:29:31Z,SESSION-FURN-REC-205,ErgoPro Comfort Chair,2025-12-26,
CUST-20345,2025-12-27T16:36:21Z,SESSION-FURN-REC-206,StandStrong Pro Desk,2025-12-27,
CUST-20345,2025-12-29T10:42:03Z,SESSION-FURN-REC-207,CloudStep Comfort Mat,2025-12-29,
CUST-20345,2025-12-30T14:46:19Z,SESSION-FURN-REC-208,OakFrame Tall Bookcase,2025-12-30,
CUST-30892,2025-12-24T16:10:54Z,SESSION-FURN-REC-309,"CozyNest Recliner, OakCraft Rustic Table",2025-12-24,
CUST-41234,2025-12-24T18:02:36Z,SESSION-FURN-REC-410,"CozyLiving Set, MapleModern Table",2025-12-24,
CUST-41234,2025-12-27T15:39:45Z,SESSION-FURN-REC-411,"CozyLiving Set, MapleModern Table, lighting, ModernGlow Arc Lamp, MapleGlow Table Lamp",2025-12-27,
CUST-51287,2025-12-28T14:23:54Z,SESSION-FURN-REC-512,"Modern Upholstered Bedroom Set, Classic Oak Dresser",2025-12-28,
CUST-62088,2025-12-31T10:16:29Z,SESSION-FURN-REC-620,"CozyFabric Modular Sectional, Velvet Armchair, Oak Rustic Table",2025-12-31,
CUST-90234,2025-12-31T14:04:21Z,SESSION-GAMING-774,"TitanPro Carbon Fiber Desk, HyperSeat Pro Gaming Chair, TitanX Curved 32"" 165Hz, LuminEdge LED Strip",2025-12-31,
CUST-73109,2025-12-31T11:21:30Z,SESSION-HOME-OFF-925,"Modern Oak Standing Desk, Ergoflex Mesh Chair, LED Swing Arm Lamp",2025-12-31,
CUST-12934,2025-04-12T11:35:24Z,SESSION-HOME-OFFICE-204,"Maple Modern Desk, Ergoflex Mesh Chair, Oak 5-Tier Shelf",2025-04-12,
CUST-73821,2025-12-31T15:31:46Z,SESSION-HOME-OFFICE-921,"SteelFrame Modern Desk, ErgoComfort Mesh Chair, ProDesk 32"" LED, MapleWood 5-Shelf",2025-12-31,
CUST-84521,2025-12-31T12:33:29Z,SESSION-KITCHEN-882,"CoolTech Smart Fridge, SmartInduction Range, Smart Dimmable Puck Lights",2025-12-31,
CUST-99312,2025-12-31T16:02:55Z,SESSION-OFFICE-883,"Modern Glass Desk, ErgoPro Mesh Chair, Wooden 3-Drawer Cabinet, Oak Veneer 12-Seater, LED Adjustable Desk Lamp",2025-12-31,
CUST-99312,2026-01-05T11:13:29Z,SESSION-OFFICE-883-FOLLOWUP,"ErgoPro Mesh Chair, Wooden 2-Drawer Cabinet, Desk Organizer Set, Filing Tray Stack",2026-01-05,
CUST-11247,2026-02-10T09:36:46Z,SESSION-OFFICE-912,"Modular Desk Cluster, AirFlow Ergonomic Chair, Steel 4-Drawer Cabinet",2026-02-10,
CUST-11822,2025-03-15T10:20:31Z,SESSION-OFFICE-945,"Titan Oak Executive Desk, CloudMesh Ergonomic Chair, Steel 4-Drawer Cabinet",2025-03-15,
CUST-10047,2025-12-31T14:36:40Z,SESSION-OFFICE-961,"Adjustable Sit-Stand Desk, AeroMesh Ergonomic Chair, Wooden 2-Drawer Cabinet, Solid Walnut 10-Seater, Adjustable LED Floor Lamp",2025-12-31,
