session_id,conversation_content,speaker,intent,conversation_turn,v_as_of_date
SESSION-BEDROOM-112,"Hi, I want to furnish my bedroom with a bed, two nightstands, and a dresser. Can you show me options for materials and colors?",customer,browse_bedroom_furniture,1,2025-05-05
SESSION-BEDROOM-112,Of course! I can show two options for each category. Should we start with beds?,agent,set_expectations,2,2025-05-05
SESSION-BEDROOM-112,"Yes, please.",customer,confirm_flow,3,2025-05-05
SESSION-BEDROOM-112,"Bed Option A: ComfortWood Queen Bed, $499. Material: solid wood, color: walnut. Pros: sturdy, classic style. Cons: heavier to move. Link: https://furni.example.com/comfortwood-bed",agent,recommend_product,4,2025-05-05
SESSION-BEDROOM-112,"Bed Option B: LinenSoft Upholstered Bed, $549. Material: fabric upholstered, color: light grey. Pros: soft, stylish. Cons: fabric requires careful cleaning. Link: https://furni.example.com/linensoft-bed",agent,recommend_product,5,2025-05-05
SESSION-BEDROOM-112,I’ll take the LinenSoft Bed in grey.,customer,finalize_selection,6,2025-05-05
SESSION-BEDROOM-112,"Great choice! Next, two nightstands.",agent,request_next_category,7,2025-05-05
SESSION-BEDROOM-112,"Nightstand Option A: Oak Drawer Nightstand, $129. Color: walnut. Pros: classic, sturdy. Cons: heavier than composite. Link: https://furni.example.com/oak-nightstand",agent,recommend_product,8,2025-05-05
SESSION-BEDROOM-112,"Nightstand Option B: White Modern Nightstand, $139. Color: white. Pros: light, easy to style. Cons: smaller drawer space. Link: https://furni.example.com/white-nightstand",agent,recommend_product,9,2025-05-05
SESSION-BEDROOM-112,I’ll take two White Modern Nightstands.,customer,finalize_selection,10,2025-05-05
SESSION-BEDROOM-112,"Excellent! Lastly, a dresser.",agent,request_next_category,11,2025-05-05
SESSION-BEDROOM-112,"Dresser Option A: Modern Oak Dresser, $299. Color: walnut. Pros: ample storage, classic style. Cons: heavier. Link: https://furni.example.com/modern-oak-dresser",agent,recommend_product,12,2025-05-05
SESSION-BEDROOM-112,"Dresser Option B: White Minimalist Dresser, $319. Color: white. Pros: modern, light appearance. Cons: smaller drawer depth. Link: https://furni.example.com/white-dresser",agent,recommend_product,13,2025-05-05
SESSION-BEDROOM-112,I’ll take the White Minimalist Dresser.,customer,finalize_selection,14,2025-05-05
SESSION-BEDROOM-112,"All done! Your LinenSoft Bed in grey, two White Modern Nightstands, and White Minimalist Dresser have been added to your cart. Your bedroom setup is ready.",agent,add_to_cart_confirmation,15,2025-05-05
SESSION-BEDROOM-305,"Hi, I want to furnish my bedroom with a bed, nightstands, dresser, a rug, and bedside lamps. I’d like to see options for materials, colors, and sizes.",customer,browse_bedroom_furniture,1,2025-06-10
SESSION-BEDROOM-305,Sure! I can show two options for each category. Should we start with beds?,agent,set_expectations,2,2025-06-10
SESSION-BEDROOM-305,"Yes, beds first.",customer,confirm_flow,3,2025-06-10
SESSION-BEDROOM-305,"Bed Option A: LuxeWood Queen Bed, $599. Material: solid wood, color: espresso. Pros: sturdy, timeless design. Cons: heavier than MDF beds. Link: https://furni.example.com/luxewood-bed",agent,recommend_product,4,2025-06-10
SESSION-BEDROOM-305,"Bed Option B: CozyUpholstered Bed, $649. Material: fabric upholstered, color: light grey. Pros: soft, stylish. Cons: requires careful cleaning. Link: https://furni.example.com/cozy-upholstered-bed",agent,recommend_product,5,2025-06-10
